customer_id,gender,age,senior_citizen,country,segment,tenure_months,plan,monthly_charges,total_charges,payment_method,paperless_billing,has_addon_service,dependents,support_calls,satisfaction_score,churned
CUST-10000,Female,62,1,Canada,Business,52,Standard,40.17,1808.84,Credit Card,0,1,0,0,5.2,0
CUST-10001,Male,63,1,Germany,Student,15,Basic,17.9,274.59,Credit Card,1,0,0,2,7.6,0
CUST-10002,Male,25,0,Canada,Family,61,Basic,23.06,1422.05,Credit Card,1,0,2,1,5.6,0
CUST-10003,Female,61,1,USA,Business,21,Premium,89.79,1942.24,PayPal,1,1,2,2,3.5,1
CUST-10004,Male,39,0,Australia,Senior,24,Premium,69.84,1676.12,Bank Transfer,1,1,1,2,8.2,0
CUST-10005,Male,38,0,Canada,Business,3,Basic,28.34,75.7,Bank Transfer,0,1,1,1,5.5,1
CUST-10006,Female,43,0,Germany,Student,22,Premium,71.83,1367.44,Bank Transfer,1,1,2,3,6.1,0
CUST-10007,Male,57,0,Canada,Family,53,Premium,80.23,4482.74,Credit Card,1,1,0,0,5.3,0
CUST-10008,Male,38,0,USA,Student,2,Standard,44.56,80.57,Bank Transfer,1,1,0,0,8.4,0
CUST-10009,Male,42,0,Australia,Senior,30,Standard,32.22,952.75,PayPal,1,1,0,0,8.5,0
CUST-10010,Female,58,0,USA,Family,38,Premium,83.66,3087.88,PayPal,1,0,3,2,9.0,0
CUST-10011,Male,18,0,USA,Business,2,Standard,45.51,98.33,Credit Card,1,0,0,1,9.0,0
CUST-10012,Female,23,0,Australia,Family,64,Basic,19.6,1239.21,Credit Card,1,0,3,2,8.0,0
CUST-10013,Female,40,0,USA,Business,60,Premium,82.91,4949.48,Bank Transfer,0,1,2,2,7.3,0
CUST-10014,Male,68,1,Australia,Business,21,Standard,38.38,749.55,PayPal,1,0,1,2,6.7,0
CUST-10015,Female,40,0,Australia,Young Professional,33,Basic,26.0,935.06,Debit Card,0,1,0,4,5.9,1
CUST-10016,Female,60,1,UK,Business,58,Standard,46.9,2728.77,Credit Card,0,1,1,0,6.1,0
CUST-10017,Male,60,1,Germany,Business,22,Standard,43.23,809.5,Bank Transfer,1,1,1,4,8.2,0
CUST-10018,Female,40,0,Canada,Business,49,Premium,73.95,3583.98,Debit Card,1,0,1,1,5.0,0
CUST-10019,Female,49,0,Canada,Young Professional,59,Standard,41.27,2291.02,PayPal,1,0,3,1,8.4,0
CUST-10020,Female,47,0,Germany,Family,42,Basic,19.54,704.06,Credit Card,1,0,0,1,7.8,0
CUST-10021,Male,30,0,USA,Young Professional,60,Standard,49.26,2831.31,Credit Card,1,0,0,1,6.2,0
CUST-10022,Female,60,1,Germany,Student,15,Standard,31.03,485.57,Bank Transfer,0,0,2,1,7.4,0
CUST-10023,Female,35,0,Australia,Business,62,Basic,26.78,1620.21,Credit Card,0,0,1,2,7.3,0
CUST-10024,Male,40,0,Australia,Young Professional,62,Standard,43.52,2725.17,Debit Card,1,0,1,1,10.0,0
CUST-10025,Female,32,0,Canada,Young Professional,47,Premium,71.2,3379.56,Credit Card,1,1,2,1,7.1,0
CUST-10026,Male,50,0,UK,Family,62,Basic,20.74,1308.55,Bank Transfer,0,1,3,5,5.4,1
CUST-10027,Male,38,0,USA,Family,51,Standard,51.49,2486.5,Credit Card,1,1,1,4,8.3,0
CUST-10028,Male,56,0,Germany,Family,55,Basic,25.09,1300.64,Credit Card,1,1,1,2,7.1,0
CUST-10029,Male,40,0,Australia,Senior,64,Basic,26.76,1457.94,Debit Card,0,0,0,4,9.8,0
CUST-10030,Male,44,0,Australia,Family,3,Standard,33.77,90.01,Credit Card,0,1,1,1,7.7,0
CUST-10031,Male,62,1,UK,Business,51,Basic,28.5,1580.88,Credit Card,0,0,0,3,1.7,1
CUST-10032,Male,61,1,Australia,Young Professional,7,Premium,72.02,534.66,Bank Transfer,0,1,1,2,7.6,0
CUST-10033,Female,35,0,Germany,Student,21,Basic,28.51,550.07,Bank Transfer,1,1,3,3,10.0,0
CUST-10034,Female,41,0,Canada,Student,39,Standard,47.01,1742.29,Debit Card,1,1,2,3,4.3,1
CUST-10035,Female,68,1,Canada,Student,18,Basic,24.89,486.15,Bank Transfer,1,0,2,1,8.1,0
CUST-10036,Male,64,1,USA,Business,4,Premium,76.12,277.86,PayPal,1,1,2,3,6.5,0
CUST-10037,Male,57,0,Germany,Young Professional,60,Standard,31.33,1848.03,Credit Card,0,0,2,3,7.3,0
CUST-10038,Male,68,1,Australia,Senior,14,Standard,45.24,541.81,Credit Card,1,1,0,0,9.2,0
CUST-10039,Female,59,0,Australia,Senior,9,Basic,22.56,204.01,PayPal,1,0,2,0,8.7,0
CUST-10040,Male,24,0,Germany,Family,53,Standard,31.96,1833.75,PayPal,0,0,2,2,8.0,0
CUST-10041,Male,67,1,Canada,Senior,2,Basic,20.54,44.0,PayPal,0,0,1,1,7.7,0
CUST-10042,Male,65,1,Australia,Young Professional,60,Premium,88.13,5158.18,Credit Card,0,0,1,3,7.3,0
CUST-10043,Female,37,0,Australia,Family,71,Standard,48.2,3464.5,PayPal,1,0,0,1,7.9,0
CUST-10044,Male,44,0,Germany,Business,44,Standard,54.22,2367.82,Debit Card,1,0,0,2,9.2,0
CUST-10045,Male,23,0,USA,Student,8,Standard,44.24,306.75,Bank Transfer,0,1,0,3,5.0,1
CUST-10046,Male,44,0,Germany,Student,47,Standard,35.88,1500.29,Debit Card,0,0,2,1,8.0,0
CUST-10047,Female,26,0,Australia,Family,35,Standard,51.08,1950.41,PayPal,0,0,0,1,5.8,0
CUST-10048,Female,62,1,Germany,Family,36,Standard,51.33,1688.87,Bank Transfer,1,0,2,2,6.2,0
CUST-10049,Female,48,0,Germany,Family,50,Standard,48.32,2285.79,PayPal,0,0,0,3,9.6,0
CUST-10050,Male,38,0,USA,Young Professional,4,Standard,45.38,177.38,Debit Card,1,0,0,2,8.8,0
CUST-10051,Male,43,0,Canada,Family,2,Standard,51.69,113.19,Bank Transfer,0,1,0,3,5.8,1
CUST-10052,Male,57,0,Germany,Young Professional,6,Basic,25.27,155.01,Credit Card,1,1,1,0,9.2,0
CUST-10053,Female,65,1,Germany,Family,54,Premium,58.87,3202.58,Debit Card,0,1,2,1,8.0,0
CUST-10054,Male,62,1,USA,Young Professional,4,Standard,53.68,210.66,Credit Card,1,1,0,2,5.4,1
CUST-10055,Male,30,0,Australia,Young Professional,54,Standard,51.8,2867.59,Bank Transfer,1,1,0,1,7.0,0
CUST-10056,Male,66,1,UK,Senior,63,Premium,82.29,5266.94,Bank Transfer,1,1,1,3,7.9,0
