ticket_id,customer_id,issue_type,priority,resolution,days_to_resolve,satisfaction_after
TKT-200000,CUST-10001,Feature Request,High,Closed,13,2
TKT-200001,CUST-10001,Service Outage,Low,Escalated,8,5
TKT-200002,CUST-10002,Login Issue,Low,Pending,13,9
TKT-200003,CUST-10003,Account Issue,High,Escalated,2,2
TKT-200004,CUST-10003,Billing Issue,Low,Resolved,14,5
TKT-200005,CUST-10004,Cancellation Request,Low,Pending,5,5
TKT-200006,CUST-10004,Service Outage,Medium,Escalated,3,9
TKT-200007,CUST-10005,Cancellation Request,Low,Resolved,12,9
TKT-200008,CUST-10006,Cancellation Request,Medium,Pending,12,8
TKT-200009,CUST-10006,Cancellation Request,High,Pending,7,1
TKT-200010,CUST-10006,Billing Issue,Low,Escalated,3,3
TKT-200011,CUST-10010,Login Issue,Medium,Pending,10,3
TKT-200012,CUST-10010,Speed Problem,High,Closed,12,7
TKT-200013,CUST-10011,Service Outage,Medium,Escalated,1,2
TKT-200014,CUST-10012,Service Outage,High,Escalated,3,8
TKT-200015,CUST-10012,Login Issue,Medium,Escalated,7,3
TKT-200016,CUST-10013,Technical Problem,Low,Closed,2,9
TKT-200017,CUST-10013,Billing Issue,Medium,Resolved,7,10
TKT-200018,CUST-10014,Technical Problem,Low,Closed,8,10
TKT-200019,CUST-10014,Billing Issue,Medium,Escalated,3,1
TKT-200020,CUST-10015,Technical Problem,Medium,Closed,5,10
TKT-200021,CUST-10015,Feature Request,Low,Closed,6,3
TKT-200022,CUST-10015,Technical Problem,Low,Pending,14,10
TKT-200023,CUST-10015,Login Issue,High,Escalated,9,9
TKT-200024,CUST-10017,Login Issue,High,Closed,2,5
TKT-200025,CUST-10017,Billing Issue,Low,Pending,8,2
TKT-200026,CUST-10017,Service Outage,High,Closed,2,2
TKT-200027,CUST-10017,Billing Issue,High,Closed,8,9
TKT-200028,CUST-10018,Cancellation Request,High,Escalated,14,5
TKT-200029,CUST-10019,Speed Problem,Medium,Pending,3,10
TKT-200030,CUST-10020,Cancellation Request,Low,Escalated,14,6
TKT-200031,CUST-10021,Speed Problem,High,Resolved,13,4
TKT-200032,CUST-10022,Account Issue,Medium,Resolved,2,5
TKT-200033,CUST-10023,Service Outage,High,Closed,1,2
TKT-200034,CUST-10023,Service Outage,Low,Closed,6,7
TKT-200035,CUST-10024,Technical Problem,Medium,Escalated,14,4
TKT-200036,CUST-10025,Billing Issue,Low,Escalated,2,8
TKT-200037,CUST-10026,Account Issue,Medium,Closed,14,1
TKT-200038,CUST-10026,Cancellation Request,High,Resolved,14,3
TKT-200039,CUST-10026,Cancellation Request,High,Pending,13,7
TKT-200040,CUST-10026,Account Issue,Low,Pending,7,2
TKT-200041,CUST-10026,Login Issue,High,Escalated,2,1
TKT-200042,CUST-10027,Technical Problem,Medium,Escalated,12,7
